Seq,AOU,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
6,1770,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Anseriformes,Anatidae,Dendrocygna,autumnalis
7,1780,Fulvous Whistling-Duck,Dendrocygne fauve,Anseriformes,Anatidae,Dendrocygna,bicolor
8,1760,Emperor Goose,Oie empereur,Anseriformes,Anatidae,Anser,canagicus
9,1690,Snow Goose,Oie des neiges,Anseriformes,Anatidae,Anser,caerulescens
10,1691,(Blue Goose) Snow Goose,Oie des neiges (forme bleue),Anseriformes,Anatidae,Anser,caerulescens (blue form)
11,1700,Ross's Goose,Oie de Ross,Anseriformes,Anatidae,Anser,rossii
12,1710,Greater White-fronted Goose,Oie rieuse,Anseriformes,Anatidae,Anser,albifrons
14,1730,Brant,Bernache cravant,Anseriformes,Anatidae,Branta,bernicla
15,1740,(Black Brant) Brant,Bernache cravant (groupe nigricans),Anseriformes,Anatidae,Branta,bernicla nigricans
17,1725,Cackling Goose,Bernache de Hutchins,Anseriformes,Anatidae,Branta,hutchinsii
18,1720,Canada Goose,Bernache du Canada,Anseriformes,Anatidae,Branta,canadensis
19,1782,Mute Swan,Cygne tuberculé,Anseriformes,Anatidae,Cygnus,olor
20,1810,Trumpeter Swan,Cygne trompette,Anseriformes,Anatidae,Cygnus,buccinator
21,1800,Tundra Swan,Cygne siffleur,Anseriformes,Anatidae,Cygnus,columbianus
23,20630,Egyptian Goose,Ouette d'Égypte,Anseriformes,Anatidae,Alopochen,aegyptiaca
24,10210,Muscovy Duck,Canard musqué,Anseriformes,Anatidae,Cairina,moschata
25,1440,Wood Duck,Canard branchu,Anseriformes,Anatidae,Aix,sponsa
27,1400,Blue-winged Teal,Sarcelle à ailes bleues,Anseriformes,Anatidae,Spatula,discors
28,1410,Cinnamon Teal,Sarcelle cannelle,Anseriformes,Anatidae,Spatula,cyanoptera
29,1420,Northern Shoveler,Canard souchet,Anseriformes,Anatidae,Spatula,clypeata
30,1350,Gadwall,Canard chipeau,Anseriformes,Anatidae,Mareca,strepera
31,1360,Eurasian Wigeon,Canard siffleur,Anseriformes,Anatidae,Mareca,penelope
32,1370,American Wigeon,Canard d'Amérique,Anseriformes,Anatidae,Mareca,americana
33,1320,Mallard,Canard colvert,Anseriformes,Anatidae,Anas,platyrhynchos
34,1331,Mexican Duck,Canard du Mexique,Anseriformes,Anatidae,Anas,diazi
35,1330,American Black Duck,Canard noir,Anseriformes,Anatidae,Anas,rubripes
36,1340,Mottled Duck,Canard brun,Anseriformes,Anatidae,Anas,fulvigula
37,1326,hybrid Mallard x Black / Mexican / Mottled Duck,hybride Canard colvert x noir / Mexique / brun,Anseriformes,Anatidae,Anas,platyrhynchos x rubripes / diazi / fulvigula
39,1430,Northern Pintail,Canard pilet,Anseriformes,Anatidae,Anas,acuta
40,1390,Green-winged Teal,Sarcelle d'hiver,Anseriformes,Anatidae,Anas,crecca
41,1470,Canvasback,Fuligule à dos blanc,Anseriformes,Anatidae,Aythya,valisineria
42,1460,Redhead,Fuligule à tête rouge,Anseriformes,Anatidae,Aythya,americana
43,1500,Ring-necked Duck,Fuligule à collier,Anseriformes,Anatidae,Aythya,collaris
44,1491,Tufted Duck,Fuligule morillon,Anseriformes,Anatidae,Aythya,fuligula
45,1480,Greater Scaup,Fuligule milouinan,Anseriformes,Anatidae,Aythya,marila
46,1490,Lesser Scaup,Petit Fuligule,Anseriformes,Anatidae,Aythya,affinis
47,1489,unid. Greater Scaup / Lesser Scaup,unid Fuligule milouinan / Petit Fuligule,Anseriformes,Anatidae,Aythya,marila / affinis
48,1570,Steller's Eider,Eider de Steller,Anseriformes,Anatidae,Polysticta,stelleri
49,1580,Spectacled Eider,Eider à lunettes,Anseriformes,Anatidae,Somateria,fischeri
50,1620,King Eider,Eider à tête grise,Anseriformes,Anatidae,Somateria,spectabilis
51,1590,Common Eider,Eider à duvet,Anseriformes,Anatidae,Somateria,mollissima
52,1550,Harlequin Duck,Arlequin plongeur,Anseriformes,Anatidae,Histrionicus,histrionicus
53,1660,Surf Scoter,Macreuse à front blanc,Anseriformes,Anatidae,Melanitta,perspicillata
54,1650,White-winged Scoter,Macreuse à ailes blanches,Anseriformes,Anatidae,Melanitta,deglandi
56,1630,Black Scoter,Macreuse à bec jaune,Anseriformes,Anatidae,Melanitta,americana
57,1657,unid. scoter,unid macreuse sp.,Anseriformes,Anatidae,Melanitta,sp.
58,1540,Long-tailed Duck,Harelde kakawi,Anseriformes,Anatidae,Clangula,hyemalis
59,1530,Bufflehead,Petit Garrot,Anseriformes,Anatidae,Bucephala,albeola
60,1510,Common Goldeneye,Garrot à oeil d'or,Anseriformes,Anatidae,Bucephala,clangula
61,1520,Barrow's Goldeneye,Garrot d'Islande,Anseriformes,Anatidae,Bucephala,islandica
62,1512,unid. Common Goldeneye / Barrow's Goldeneye,unid Garrot à oeil d'or / Garrot d'Islande,Anseriformes,Anatidae,Bucephala,clangula / islandica
64,1310,Hooded Merganser,Harle couronné,Anseriformes,Anatidae,Lophodytes,cucullatus
65,1290,Common Merganser,Grand Harle,Anseriformes,Anatidae,Mergus,merganser
66,1300,Red-breasted Merganser,Harle huppé,Anseriformes,Anatidae,Mergus,serrator
68,1670,Ruddy Duck,Érismature rousse,Anseriformes,Anatidae,Oxyura,jamaicensis
69,3110,Plain Chachalaca,Ortalide chacamel,Galliformes,Cracidae,Ortalis,vetula
77,2920,Mountain Quail,Colin des montagnes,Galliformes,Odontophoridae,Oreortyx,pictus
82,2890,Northern Bobwhite,Colin de Virginie,Galliformes,Odontophoridae,Colinus,virginianus
84,2930,Scaled Quail,Colin écaillé,Galliformes,Odontophoridae,Callipepla,squamata
86,2940,California Quail,Colin de Californie,Galliformes,Odontophoridae,Callipepla,californica
87,2950,Gambel's Quail,Colin de Gambel,Galliformes,Odontophoridae,Callipepla,gambelii
