AOU,English_Common_Name,Order,Genus,Species_y,yrs with observations,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,ruta,Latitude,Longitude
3160,Mourning Dove,Columbiformes,Zenaida,macroura,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,11,12,13,12,23,22,19,24,13,27,28,32,20,15,26,29,19,26,23,9,21,13,28,0,25,22,7,0,84063903,34.7300597,-76.9359209
3870,Yellow-billed Cuckoo,Cuculiformes,Coccyzus,americanus,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,17,7,10,3,9,12,2,5,10,12,5,10,6,13,12,5,10,16,7,3,13,3,17,0,2,17,2,0,84063903,34.7300597,-76.9359209
2890,Northern Bobwhite,Galliformes,Colinus,virginianus,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,9,15,6,24,23,22,13,14,12,16,20,9,17,12,15,18,8,5,10,4,11,13,7,0,4,12,1,0,84063903,34.7300597,-76.9359209
4930,European Starling,Passeriformes,Sturnus,vulgaris,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,4,2,2,6,6,3,2,7,15,8,6,28,8,3,5,6,5,9,40,2,9,18,0,6,13,9,0,84063903,34.7300597,-76.9359209
4770,Blue Jay,Passeriformes,Cyanocitta,cristata,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,5,1,3,5,10,7,2,6,6,2,6,2,5,4,4,4,9,10,7,4,4,7,0,2,10,3,0,84063903,34.7300597,-76.9359209
4880,American Crow,Passeriformes,Corvus,brachyrhynchos,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,13,16,15,24,22,35,20,14,13,10,3,10,1,10,11,11,13,15,9,2,18,6,10,0,4,14,4,0,84063903,34.7300597,-76.9359209
4610,Eastern Wood-Pewee,Passeriformes,Contopus,virens,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,14,12,11,14,15,17,16,11,10,20,5,10,15,15,15,16,14,18,21,6,12,17,7,0,12,14,3,0,84063903,34.7300597,-76.9359209
4520,Great Crested Flycatcher,Passeriformes,Myiarchus,crinitus,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,21,19,15,31,23,22,25,22,28,27,38,20,18,25,23,27,21,28,30,24,46,24,33,0,24,25,12,0,84063903,34.7300597,-76.9359209
6370,Prothonotary Warbler,Passeriformes,Protonotaria,citrea,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,7,14,8,7,4,10,6,17,10,8,8,10,8,13,11,10,13,14,9,17,16,14,0,8,24,10,0,84063903,34.7300597,-76.9359209
6480,Northern Parula,Passeriformes,Setophaga,americana,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,2,1,3,6,2,2,2,3,1,2,1,2,1,3,1,1,4,2,1,3,1,3,0,2,1,2,0,84063903,34.7300597,-76.9359209
6810,Common Yellowthroat,Passeriformes,Geothlypis,trichas,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,25,25,21,13,21,16,12,20,15,22,22,20,8,18,9,18,19,19,20,22,21,15,23,0,26,17,5,0,84063903,34.7300597,-76.9359209
6710,Pine Warbler,Passeriformes,Setophaga,pinus,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,36,31,22,23,20,13,19,10,16,23,16,18,14,18,17,24,20,22,25,18,15,5,20,0,23,31,17,0,84063903,34.7300597,-76.9359209
6110,Purple Martin,Passeriformes,Progne,subis,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,13,9,8,7,9,4,4,9,8,13,9,5,7,7,15,12,9,7,12,6,5,16,9,0,3,7,4,0,84063903,34.7300597,-76.9359209
6100,Summer Tanager,Passeriformes,Piranga,rubra,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,3,6,4,10,13,6,8,4,5,2,5,3,7,7,7,6,6,10,10,6,3,2,0,7,3,2,0,84063903,34.7300597,-76.9359209
5980,Indigo Bunting,Passeriformes,Passerina,cyanea,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,20,21,19,19,30,30,23,22,14,15,22,20,16,8,15,14,12,12,18,9,7,16,7,0,8,11,5,0,84063903,34.7300597,-76.9359209
