AOU,English_Common_Name,Order,Family,Genus,Species
5830,Lincoln's Sparrow,Passeriformes,Passerellidae,Melospiza,lincolnii
3310,Northern Harrier,Accipitriformes,Accipitridae,Circus,hudsonius
5850,Fox Sparrow,Passeriformes,Passerellidae,Passerella,iliaca
1420,Northern Shoveler,Anseriformes,Anatidae,Spatula,clypeata
1370,American Wigeon,Anseriformes,Anatidae,Mareca,americana
2490,Marbled Godwit,Charadriiformes,Scolopacidae,Limosa,fedoa
5280,Common Redpoll,Passeriformes,Fringillidae,Acanthis,flammea
590,Franklin's Gull,Charadriiformes,Laridae,Leucophaeus,pipixcan
2550,Lesser Yellowlegs,Charadriiformes,Scolopacidae,Tringa,flavipes
2881,Gray Partridge,Galliformes,Phasianidae,Perdix,perdix
7000,Sprague's Pipit,Passeriformes,Motacillidae,Anthus,spragueii
5450,Baird's Sparrow,Passeriformes,Passerellidae,Centronyx,bairdii
40,Eared Grebe,Podicipediformes,Podicipedidae,Podiceps,nigricollis
6556,(unid. Myrtle / Audubon's) Yellow-rumped Warbler,Passeriformes,Parulidae,Setophaga,coronata
3750,Great Horned Owl,Strigiformes,Strigidae,Bubo,virginianus
7570,Gray-cheeked Thrush,Passeriformes,Turdidae,Catharus,minimus
7280,Red-breasted Nuthatch,Passeriformes,Sittidae,Sitta,canadensis
5840,Swamp Sparrow,Passeriformes,Passerellidae,Melospiza,georgiana
1200,Double-crested Cormorant,Suliformes,Phalacrocoracidae,Nannopterum,auritum
1390,Green-winged Teal,Anseriformes,Anatidae,Anas,crecca
510,Herring Gull,Charadriiformes,Laridae,Larus,argentatus
6610,Blackpoll Warbler,Passeriformes,Parulidae,Setophaga,striata
470,Great Black-backed Gull,Charadriiformes,Laridae,Larus,marinus
4000,Black-backed Woodpecker,Piciformes,Picidae,Picoides,arcticus
700,Common Tern,Charadriiformes,Laridae,Sterna,hirundo
