,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species,prct_years
2,4,4,51,51,660,2,2014,2015,1,Elegant Tern,Sterne élégante,Charadriiformes,Laridae,Thalasseus,elegans,2.0
0,2,2,193,193,2620,2,2021,2022,1,Buff-breasted Sandpiper,Bécasseau roussâtre,Charadriiformes,Scolopacidae,Calidris,subruficollis,2.0
4,3,3,464,464,5078,2,2017,2018,1,hybrid Bullock's Oriole x Baltimore Oriole,hybride Oriole de Baltimore x Oriole de Bullock's,Passeriformes,Icteridae,Icterus,bullockii x galbula,2.0
1,0,0,730,730,20630,2,2018,2019,1,Egyptian Goose,Ouette d'Égypte,Anseriformes,Anatidae,Alopochen,aegyptiaca,2.0
3,1,1,734,734,52021,2,2005,2006,1,Yellow-chevroned Parakeet,Toui à ailes jaunes,Psittaciformes,Psittacidae,Brotogeris,chiriri,2.0
7,5,5,174,174,2400,3,2021,2023,2,White-rumped Sandpiper,Bécasseau à croupion blanc,Charadriiformes,Scolopacidae,Calidris,fuscicollis,1.5
6,6,6,160,160,2220,3,2021,2023,2,Red Phalarope,Phalarope à bec large,Charadriiformes,Scolopacidae,Phalaropus,fulicarius,1.5
5,7,7,106,106,1580,3,2021,2023,2,Spectacled Eider,Eider à lunettes,Anseriformes,Anatidae,Somateria,fischeri,1.5
8,8,8,105,105,1570,3,2021,2023,2,Steller's Eider,Eider de Steller,Anseriformes,Anatidae,Polysticta,stelleri,1.5
9,9,9,701,701,7421,3,2021,2023,2,Swinhoe’s White-eye,Zostérops de Swinhoe,Passeriformes,Zosteropidae,Zosterops,simplex,1.5
10,10,10,628,628,6686,5,2013,2017,4,hybrid Townsend's Warbler x Hermit Warbler,hybride Paruline de Townsend x à tête jaune,Passeriformes,Parulidae,Setophaga,townsendi x occidentalis,1.25
11,11,11,61,61,900,5,2004,2008,4,Manx Shearwater,Puffin des Anglais,Procellariiformes,Procellariidae,Puffinus,puffinus,1.25
225,51,51,649,649,6883,463,1997,2023,26,Eurasian Tree Sparrow,Moineau friquet,Passeriformes,Passeridae,Passer,montanus,1.0
224,50,50,647,647,6880,153,1997,2023,26,Painted Redstart,Paruline à ailes blanches,Passeriformes,Parulidae,Myioborus,pictus,1.0
237,63,63,308,308,3826,3,2019,2022,3,Red-crowned Parrot,Amazone à joues vertes,Psittaciformes,Psittacidae,Amazona,viridigenalis,1.0
64,113,113,595,595,6380,1776,1995,2023,28,Swainson's Warbler,Paruline de Swainson,Passeriformes,Parulidae,Limnothlypis,swainsonii,1.0
65,114,114,594,594,6370,5366,1995,2023,28,Prothonotary Warbler,Paruline orangée,Passeriformes,Parulidae,Protonotaria,citrea,1.0
66,115,115,592,592,6340,795,1997,2023,26,Gray Vireo,Viréo gris,Passeriformes,Vireonidae,Vireo,vicinior,1.0
67,116,116,565,565,6121,1060,1996,2023,27,Cave Swallow,Hirondelle à front brun,Passeriformes,Hirundinidae,Petrochelidon,fulva,1.0
68,117,117,578,578,6230,86,1997,2021,24,Black-whiskered Vireo,Viréo à moustaches,Passeriformes,Vireonidae,Vireo,altiloquus,1.0
69,118,118,575,575,6200,1317,1996,2023,27,Phainopepla,Phénopèple luisant,Passeriformes,Ptiliogonatidae,Phainopepla,nitens,1.0
70,119,119,234,234,3095,9,2014,2023,9,Indian Peafowl,Paon bleu,Galliformes,Phasianidae,Pavo,cristatus,1.0
71,120,120,228,228,3050,436,1997,2023,26,Greater Prairie-Chicken,Tétras des prairies,Galliformes,Phasianidae,Tympanuchus,cupido,1.0
72,121,121,185,185,2510,36,1997,2018,21,Hudsonian Godwit,Barge hudsonienne,Charadriiformes,Scolopacidae,Limosa,haemastica,1.0
