,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
571,6170,20447,1991,2023,32,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis
235,3100,17018,1995,2023,28,Wild Turkey,Dindon sauvage,Galliformes,Phasianidae,Meleagris,gallopavo
680,7280,16424,1987,2023,36,Red-breasted Nuthatch,Sittelle à poitrine rousse,Passeriformes,Sittidae,Sitta,canadensis
562,6100,16132,1994,2023,29,Summer Tanager,Piranga vermillon,Passeriformes,Cardinalidae,Piranga,rubra
337,4060,15322,1995,2023,28,Red-headed Woodpecker,Pic à tête rouge,Piciformes,Picidae,Melanerpes,erythrocephalus
732,22860,14951,1997,2023,26,Eurasian Collared-Dove,Tourterelle turque,Columbiformes,Columbidae,Streptopelia,decaocto
407,4660,13360,1991,2023,32,Willow Flycatcher,Moucherolle des saules,Passeriformes,Tyrannidae,Empidonax,traillii
535,5830,9401,1982,2023,41,Lincoln's Sparrow,Bruant de Lincoln,Passeriformes,Passerellidae,Melospiza,lincolnii
536,5840,9304,1987,2023,36,Swamp Sparrow,Bruant des marais,Passeriformes,Passerellidae,Melospiza,georgiana
396,4570,8747,1995,2023,28,Say's Phoebe,Moucherolle à ventre roux,Passeriformes,Tyrannidae,Sayornis,saya
269,3420,8469,1990,2023,33,Swainson's Hawk,Buse de Swainson,Accipitriformes,Accipitridae,Buteo,swainsoni
258,3310,8439,1982,2023,41,Northern Harrier,Busard des marais,Accipitriformes,Accipitridae,Circus,hudsonius
725,7680,7921,1991,2023,32,Mountain Bluebird,Merlebleu azuré,Passeriformes,Turdidae,Sialia,currucoides
147,2060,7908,1991,2023,32,Sandhill Crane,Grue du Canada,Gruiformes,Gruidae,Antigone,canadensis
668,7150,7830,1994,2023,29,Rock Wren,Troglodyte des rochers,Passeriformes,Troglodytidae,Salpinctes,obsoletus
299,3750,7551,1983,2023,40,Great Horned Owl,Grand-duc d'Amérique,Strigiformes,Strigidae,Bubo,virginianus
515,5620,7395,1991,2023,32,Brewer's Sparrow,Bruant de Brewer,Passeriformes,Passerellidae,Spizella,breweri
697,7380,7113,1991,2023,32,Mountain Chickadee,Mésange de Gambel,Passeriformes,Paridae,Poecile,gambeli
678,7260,6785,1995,2023,28,Brown Creeper,Grimpereau brun,Passeriformes,Certhiidae,Certhia,americana
621,6630,6602,1995,2023,28,Yellow-throated Warbler,Paruline à gorge jaune,Passeriformes,Parulidae,Setophaga,dominica
675,7222,6531,1994,2023,29,Winter Wren,Troglodyte des forêts,Passeriformes,Troglodytidae,Troglodytes,hiemalis
414,4690,6490,1991,2023,32,Dusky Flycatcher,Moucherolle sombre,Passeriformes,Tyrannidae,Empidonax,oberholseri
537,5850,6469,1982,2023,41,Fox Sparrow,Bruant fauve,Passeriformes,Passerellidae,Passerella,iliaca
39,540,6314,1991,2023,32,Ring-billed Gull,Goéland à bec cerclé,Charadriiformes,Laridae,Larus,delawarensis
278,3520,6105,1991,2023,32,Bald Eagle,Pygargue à tête blanche,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus
412,4680,5997,1991,2023,32,Hammond's Flycatcher,Moucherolle de Hammond,Passeriformes,Tyrannidae,Empidonax,hammondii
290,3680,5924,1996,2023,27,Barred Owl,Chouette rayée,Strigiformes,Strigidae,Strix,varia
594,6370,5727,1995,2023,28,Prothonotary Warbler,Paruline orangée,Passeriformes,Parulidae,Protonotaria,citrea
478,5210,5457,1991,2023,32,Red Crossbill,Bec-croisé des sapins,Passeriformes,Fringillidae,Loxia,curvirostra
681,7290,5395,1994,2023,29,Brown-headed Nuthatch,Sittelle à tête brune,Passeriformes,Sittidae,Sitta,pusilla
611,6540,5384,1994,2023,29,Black-throated Blue Warbler,Paruline bleue,Passeriformes,Parulidae,Setophaga,caerulescens
159,2210,5336,1991,2023,32,American Coot,Foulque d'Amérique,Gruiformes,Rallidae,Fulica,americana
66,1200,5227,1987,2023,36,Double-crested Cormorant,Cormoran à aigrettes,Suliformes,Phalacrocoracidae,Nannopterum,auritum
542,5900,5153,1996,2023,27,Green-tailed Towhee,Tohi à queue verte,Passeriformes,Passerellidae,Pipilo,chlorurus
525,5730,4966,1995,2023,28,Black-throated Sparrow,Bruant à gorge noire,Passeriformes,Passerellidae,Amphispiza,bilineata
596,6390,4496,1995,2023,28,Worm-eating Warbler,Paruline vermivore,Passeriformes,Parulidae,Helmitheros,vermivorum
656,7020,4496,1991,2023,32,Sage Thrasher,Moqueur des armoises,Passeriformes,Mimidae,Oreoscoptes,montanus
469,5120,4404,1996,2023,27,Great-tailed Grackle,Quiscale à longue queue,Passeriformes,Icteridae,Quiscalus,mexicanus
711,7540,4324,1991,2023,32,Townsend's Solitaire,Solitaire de Townsend,Passeriformes,Turdidae,Myadestes,townsendi
676,7240,4283,1991,2023,32,Sedge Wren,Troglodyte à bec court,Passeriformes,Troglodytidae,Cistothorus,stellaris
140,2000,4240,1996,2023,27,Little Blue Heron,Aigrette bleue,Pelecaniformes,Ardeidae,Egretta,caerulea
677,7250,4128,1993,2023,30,Marsh Wren,Troglodyte des marais,Passeriformes,Troglodytidae,Cistothorus,palustris
475,5180,4009,1995,2023,28,Cassin's Finch,Roselin de Cassin,Passeriformes,Fringillidae,Haemorhous,cassinii
90,1420,3975,1982,2023,41,Northern Shoveler,Canard souchet,Anseriformes,Anatidae,Spatula,clypeata
591,6330,3934,1996,2023,27,Bell's Vireo,Viréo de Bell,Passeriformes,Vireonidae,Vireo,bellii
224,3000,3927,1993,2023,30,Ruffed Grouse,Gélinotte huppée,Galliformes,Phasianidae,Bonasa,umbellus
558,6050,3912,1991,2023,32,Lark Bunting,Bruant noir et blanc,Passeriformes,Passerellidae,Calamospiza,melanocorys
626,6680,3841,1991,2023,32,Townsend's Warbler,Paruline de Townsend,Passeriformes,Parulidae,Setophaga,townsendi
195,2640,3777,1990,2023,33,Long-billed Curlew,Courlis à long bec,Charadriiformes,Scolopacidae,Numenius,americanus
245,3190,3724,1996,2023,27,White-winged Dove,Tourterelle à ailes blanches,Columbiformes,Columbidae,Zenaida,asiatica
