,ruta,num_continuous_species,min_year,max_year,num_survey_years,Latitude,Longitude
1276,84063903,36,1995,2023,28,34.7300597,-76.9359209
1528,840341,34,1982,2023,28,64.5464143,-146.9948586
1529,840341,34,1982,2023,28,42.2101956,-90.0603721
90,8407235,55,1996,2023,27,41.2289,-76.4559998
125,84072132,53,1996,2023,27,41.546735,-76.9628251
148,8407229,51,1996,2023,27,41.3121387,-76.6638159
149,8407234,51,1996,2023,27,41.4410897,-76.9073399
250,8407236,48,1996,2023,27,41.1152527,-76.4792479
301,84014153,47,1996,2023,27,38.7687607,-120.9253159
345,8401498,46,1996,2023,27,38.7202247,-121.0356899
917,12476306,39,1996,2023,27,45.79067,-74.68304
1026,8405920,38,1996,2023,27,40.6572687,-75.0997599
1277,8408823,36,1996,2023,27,37.7014449,-78.7872126
1530,12445101,34,1996,2023,27,49.44727,-95.40772
1667,8408919,33,1996,2023,27,46.6387037,-121.3902819
2113,8408943,30,1996,2023,27,46.4024557,-121.5554509
2559,124764,27,1993,2023,27,45.08068,-73.33089
2560,8405325,27,1996,2023,27,46.9175377,-114.4626919
3574,8405326,20,1996,2023,27,46.7236933,-113.6681583
4021,1244312,16,1996,2023,27,51.41613,-111.47615
4022,1244312,16,1996,2023,27,65.29336,-126.83483
4659,8403832,2,1995,2022,27,61.2560417,-149.544356
4660,8403832,2,1995,2022,27,39.3447742,-98.7508415
0,840632,96,1997,2023,26,31.5175977,-110.7949529
1,840632,96,1997,2023,26,34.95713,-76.65516
8,840213,70,1997,2023,26,33.8116977,-86.1153789
9,840213,70,1997,2023,26,38.9594417,-75.5366119
11,840728,68,1997,2023,26,36.1206137,-93.2802279
12,840728,68,1997,2023,26,41.7528857,-79.9481349
18,8404643,65,1997,2023,26,38.5258637,-76.2101023
24,84063101,64,1997,2023,26,33.9225168,-78.2125169
28,8404642,63,1997,2023,26,38.3676908,-76.2432656
32,840722,62,1997,2023,26,35.4263985,-93.6640897
33,840722,62,1997,2023,26,41.6375228,-80.4945401
45,840724,60,1997,2023,26,35.3514159,-94.3318236
46,840724,60,1997,2023,26,41.7146604,-80.3204561
55,8403538,59,1997,2023,26,38.6631267,-85.9410399
56,8406310,59,1997,2023,26,35.9691437,-77.4434709
62,8406122,58,1997,2023,26,33.5656117,-110.9464649
63,8406122,58,1997,2023,26,42.4363317,-74.1520169
64,84072192,58,1997,2023,26,39.8666007,-78.1771689
65,8408842,58,1997,2023,26,36.6079187,-78.0088473
86,8403925,56,1997,2023,26,37.4126457,-85.1284099
91,8401471,55,1997,2023,26,38.0453507,-122.8668979
92,8406324,55,1997,2023,26,36.2540309,-77.9795614
108,8406149,54,1997,2023,26,42.665781,-77.225107
109,8408225,54,1997,2023,26,36.0984567,-85.7051469
126,8403535,53,1997,2023,26,38.7744667,-86.7647789
139,840399,52,1997,2023,26,36.7007807,-85.2699359
140,8405256,52,1997,2023,26,37.2408609,-89.8075467
150,8408226,51,1997,2023,26,36.5041157,-85.6700349
173,8404611,50,1997,2023,26,39.1514457,-77.0930269
174,840466,50,1997,2023,26,39.6129717,-77.8655019
175,8404917,50,1997,2023,26,44.4308,-86.1283614
176,84072165,50,1997,2023,26,40.3267106,-77.3695842
177,8409114,50,1997,2023,26,45.3129597,-91.4793629
201,840229,49,1997,2023,26,32.1473077,-85.0626449
202,8405015,49,1997,2023,26,45.6049323,-93.8828669
203,840527,49,1997,2023,26,37.3066269,-89.526555
204,8406189,49,1997,2023,26,43.199431,-73.312309
205,8409122,49,1997,2023,26,45.3150927,-89.6369409
206,8409155,49,1997,2023,26,43.4457507,-89.8669289
251,84046123,48,1997,2023,26,38.9888945,-76.6695275
252,8404637,48,1997,2023,26,39.10312,-76.192383
253,8405068,48,1997,2023,26,46.3901207,-93.0960859
254,84063228,48,1997,2023,26,36.2714197,-81.5907129
302,12411208,47,1997,2023,26,49.59762,-119.72963
303,84014108,47,1997,2023,26,36.4530827,-121.6956939
304,8404647,47,1997,2023,26,38.1651924,-75.5797027
305,840587,47,1997,2023,26,43.2494327,-71.6191959
306,84063202,47,1997,2023,26,34.9312881,-76.8406017
